,40/40 Vision,http://feeds.feedburner.com/4040Vision
,Podcast for America,http://feeds.feedburner.com/PodcastForAmerica
,Slate Money,http://feeds.feedburner.com/slatemoney
,Slate's Spoiler Specials,http://feeds.feedburner.com/SlateSpoilerSpecials
,Double X,http://feeds.feedburner.com/DoubleXPodcasts
,Better Call Saul,http://feeds.feedburner.com/BetterCallSaulSlateTvClub
Earwolf,Hard Nation,http://rss.earwolf.com/hard-nation
,Pistol Shrimps Radio,http://rss.earwolf.com/pistol-shrimps-radio
,The Longest Shortest Time,http://rss.earwolf.com/the-longest-shortest-time
,Who Charted?,http://rss.earwolf.com/who-charted
,Question of the Day,http://rss.earwolf.com/question-of-the-day
,Beautiful/Anonymous,http://rss.earwolf.com/beautiful-anonymous
,Bitch Sesh,http://rss.earwolf.com/bitch-sesh
,Black List Table Reads,http://feeds.feedburner.com/BlackListTableReads
,The Canon,http://feeds.feedburner.com/TheCanonPodcast
,Comedy Bang Bang,http://rss.earwolf.com/comedy-bang-bang
,Cracked Podcast,http://rss.earwolf.com/the-cracked-podcast
,Crybabies,http://feeds.feedburner.com/Crybabies
,David Gregory Show,http://rss.earwolf.com/the-david-gregory-show
,Denzel Washington is the Greatest Actor of All Time Period,http://feeds.feedburner.com/DenzelWashingtonIsTheGreatest
,Earwolf Presents,http://rss.earwolf.com/earwolf-presents
,Fake the Nation,http://rss.earwolf.com/fake-the-nation
,Get Up On This,http://feeds.feedburner.com/GetUpOnThis
,Happy Sad Confused,http://feeds.soundcloud.com/users/soundcloud:users:109841038/sounds.rss
,Hello From the Magic Tavern,http://feeds.soundcloud.com/users/soundcloud:users:208311266/sounds.rss
,Hollywood Handbook,http://rss.earwolf.com/hollywood-handbook
,How Did This Get Made,http://rss.earwolf.com/how-did-this-get-made
,I Was There Too,http://feeds.feedburner.com/IWasThereToo
,improv4humans,http://rss.earwolf.com/improv4humans
,Katie Couric,http://rss.earwolf.com/katie-couric
,Kevin Pollak's Chat Show,http://rss.earwolf.com/kevin-pollaks-chat-show
,Never Not Funny,http://feeds.feedburner.com/NeverNotFunny
,OMFG!,http://feeds.feedburner.com/OMFG-Podcast
,Ronna & Beverly,http://feeds.feedburner.com/OMFG-Podcast
,Sklarbro County,http://rss.earwolf.com/sklarbro-country
,SPONTANEATION,http://rss.earwolf.com/spontaneanation-with-paul-f-tompkins
,The Room Where It's Happening,http://rss.earwolf.com/the-room-where-its-happening
